name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Lorehold, the Historian",5,"Legendary Creature - Elder Dragon",RW,"sos","201",mythic,null,Owned,Non-foil,mainboard,false,,,"","",149901,false,false,"Joshua Raphael"
"Quandrix, the Proof",6,"Legendary Creature - Elder Dragon",GU,"sos","218",mythic,null,Owned,Non-foil,mainboard,false,,,"","",149935,false,false,"Lucas Graciano"
"Aven Interrupter",3,"Creature - Bird Rogue",W,"otj","4",rare,null,Owned,Non-foil,mainboard,false,,,"","",123919,false,false,"Daniel Romanovsky"
"Erode",1,"Instant",W,"sos","15",rare,null,Owned,Non-foil,mainboard,false,,,"","",149529,false,false,"Florian Herold"
"Daydream",1,"Sorcery",W,"sos","9",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",149517,false,false,"Nia Kovalevski"
"Dollmaker's Shop // Porcelain Gallery",8,"Enchantment - Room",W,"dsk","335",mythic,null,Owned,Non-foil,mainboard,false,,,"","",130023,false,false,"Cacho Rubione"
"Topsy Turvy",3,"Enchantment",U,"und","29",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Jeff Miracola"
"Boggart Trawler",3,"Creature - Goblin",B,"mh3","243",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",126517,false,false,"Randy Gallegos"
"Ral Zarek, Guest Lecturer",3,"Legendary Planeswalker - Ral",B,"sos","97",mythic,null,Owned,Non-foil,mainboard,false,,,"","",149693,false,false,"Billy Christian"
"Cut Down",1,"Instant",B,"plg24","3J",rare,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Dominik Mayer"
"Flashback",1,"Instant",R,"sos","115",rare,null,Owned,Non-foil,mainboard,false,,,"","",149729,false,false,"Flavio Greco Paglia"
"Reiterate",3,"Instant",R,"tsr","182",rare,null,Owned,Non-foil,mainboard,false,,,"","",86735,false,false,"Dan Murayama Scott"
"Fury Storm",4,"Instant",R,"c18","22",rare,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Mark Poole"
"Emeritus of Abundance",3,"Creature - Elf Druid",G,"sos","145",mythic,null,Owned,Non-foil,mainboard,false,,,"","",149789,false,false,"Justyna Dura"
"Eureka",4,"Sorcery",G,"vma","208",mythic,null,Proxied,Non-foil,mainboard,false,,,"","",53165,false,false,"Ryan Pancoast"
"Cursed Totem",2,"Artifact",,"mh2","295",rare,null,Owned,Non-foil,mainboard,false,,,"","",91017,false,false,"Aaron Miller"
"Professor Dellian Fel",4,"Legendary Planeswalker - Dellian",BG,"sos","214",mythic,null,Owned,Non-foil,mainboard,false,,,"","",149927,false,false,"Lie Setiawan"
"Canal Dredger",4,"Artifact Creature - Construct",,"cns","55",rare,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"John Avon"
"Cogwork Librarian",4,"Artifact Creature - Construct",,"cns","58",common,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Dan Murayama Scott"
"Alphinaud Leveilleur",4,"Legendary Creature - Elf Wizard",U,"fic","33",rare,null,Owned,Non-foil,mainboard,false,,,"","",140057,false,false,"Justyna Dura"
"Alisaie Leveilleur",3,"Legendary Creature - Elf Wizard",W,"fic","9",rare,null,Owned,Non-foil,mainboard,false,,,"","",140009,false,false,"Justyna Dura"
